Record_number,Ref,Study_number,Country,Region,City,Site_name,Lat,Long,K_ppen_CC,Vegetation,Species,Family,Growth_habit,Senesced_sample_method,MAT,TAP,Elevation,C_green_leaf,C_senesced_leaf,N_green_leaf,N_senesced_leaf,P_green_leaf,P_senesced_leaf,K_green_leaf,K_senesced_leaf,Ca_green_leaf,Ca_senesced_leaf,Mg_green_leaf,Mg_senesced_leaf,Spec_area_green_leaf,Spec_area_senesced_leaf,Area_green_leaf,Area_senesced_leaf,Mass_green_leaf,Mass_senesced_leaf,Leaf_loss,Leaf_shrink
785,Allison & Vitousek (2004),1,USA,HI,,,19.7,-155.1,A,Wet tropical forest,Cibotium glaucum,Cibotiaceae,Ferns,Picked from the plant or recently fallen,23,4000,150,,,1.4,0.75,0.1,0.04,,,,,,,87.7,,,,,,,
786,Allison & Vitousek (2004),1,USA,HI,,,19.7,-155.1,A,Wet tropical forest,Dicranopteris linearis,Gleicheniaceae,Ferns,Picked from the plant or recently fallen,23,4000,150,,,0.87,0.53,0.06,0.03,,,,,,,89.3,,,,,,,
787,Allison & Vitousek (2004),1,USA,HI,,,19.7,-155.1,A,Wet tropical forest,Dicranopteris sandwichianum,Gleicheniaceae,Ferns,Picked from the plant or recently fallen,23,4000,150,,,2.15,1.42,0.24,0.08,,,,,,,44.1,,,,,,,
788,Allison & Vitousek (2004),1,USA,HI,,,19.7,-155.1,A,Wet tropical forest,Eriogonum alatum,Polygonaceae,Forb,Picked from the plant or recently fallen,23,4000,150,,,0.81,0.49,0.06,0.02,,,,,,,105.3,,,,,,,
789,Allison & Vitousek (2004),1,USA,HI,,,19.7,-155.1,A,Wet tropical forest,Sphaeropteris cooperi,Cyatheaceae,Ferns,Picked from the plant or recently fallen,23,4000,150,,,2.05,1.29,0.14,0.12,,,,,,,54.6,,,,,,,
790,Allison & Vitousek (2004),1,USA,HI,,,19.7,-155.1,A,Wet tropical forest,Vaccinium calycinum ,Ericaceae,Tree (deciduous),Picked from the plant or recently fallen,23,4000,150,,,1.05,0.56,0.06,0.03,,,,,,,69.4,,,,,,,
791,Allison & Vitousek (2004),1,USA,HI,,,19.7,-155.1,A,Wet tropical forest,Hedychium gardnerianum,Zingiberaceae,Forb,Picked from the plant or recently fallen,23,4000,150,,,1.48,0.38,0.11,0.03,,,,,,,59.9,,,,,,,
792,Allison & Vitousek (2004),1,USA,HI,,,19.7,-155.1,A,Wet tropical forest,Setaria palmifolia,Gramineae,Graminoid,Picked from the plant or recently fallen,23,4000,150,,,1.92,0.68,0.15,0.04,,,,,,,42.2,,,,,,,
793,Allison & Vitousek (2004),1,USA,HI,,,19.7,-155.1,A,Wet tropical forest,Clidemia hirta,Melastomataceae,Tree (evergreen),Picked from the plant or recently fallen,23,4000,150,,,1.56,0.75,0.07,0.03,,,,,,,49,,,,,,,
794,Allison & Vitousek (2004),1,USA,HI,,,19.7,-155.1,A,Wet tropical forest,Miconia calvescens,Melastomataceae,Tree (evergreen),Picked from the plant or recently fallen,23,4000,150,,,1.92,1.02,0.12,0.05,,,,,,,49.5,,,,,,,
