"sitemonthyear","siteID","monthyear","year","plotID","species_richness","exotic_richness","exotic_cover","latitude","longitude","easting","northing","Dominant_NLCD_Classes"
"ABBY2017-06","ABBY","2017-06","2017","ABBY_007",22,5,14.5,45.768936,-122.361007,549684.252,5068573.756,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub"
"ABBY2017-06","ABBY","2017-06","2017","ABBY_008",16,1,2,45.771358,-122.355223,550131.807,5068846.389,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub"
"ABBY2017-06","ABBY","2017-06","2017","ABBY_010",18,1,3,45.776549,-122.375934,548516.969,5069410.372,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub"
"ABBY2017-06","ABBY","2017-06","2017","ABBY_011",36,8,64.5,45.743361,-122.358994,549863.536,5065733.54,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub"
"ABBY2017-06","ABBY","2017-06","2017","ABBY_012",27,7,47,45.754263,-122.384239,547890.374,5066929.326,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub"
"ABBY2017-06","ABBY","2017-06","2017","ABBY_013",34,9,167.5,45.745332,-122.372807,548787.33,5065944.038,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub"
"ABBY2017-06","ABBY","2017-06","2017","ABBY_018",28,9,88,45.764526,-122.38678,547684.017,5068068.109,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub"
"ABBY2018-06","ABBY","2018-06","2018","ABBY_001",17,1,1,45.772619,-122.346369,550819.025,5068992.14,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub"
"ABBY2018-06","ABBY","2018-06","2018","ABBY_002",22,6,37,45.739055,-122.309112,553747.919,5065287.429,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub"
"ABBY2018-06","ABBY","2018-06","2018","ABBY_003",30,4,6,45.762016,-122.371092,548906.122,5067798.686,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub"
"ABBY2018-06","ABBY","2018-06","2018","ABBY_004",38,12,175.5,45.76858,-122.298736,554526.433,5068574.728,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub"
"ABBY2018-06","ABBY","2018-06","2018","ABBY_005",50,8,89.5,45.770977,-122.389412,547473.873,5068783.296,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub"
"ABBY2018-06","ABBY","2018-06","2018","ABBY_006",14,1,5,45.754053,-122.298512,554557.953,5066960.965,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub"
"ABBY2018-06","ABBY","2018-06","2018","ABBY_007",26,5,9,45.768936,-122.361007,549684.252,5068573.756,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub"
"ABBY2018-06","ABBY","2018-06","2018","ABBY_008",16,1,1,45.771358,-122.355223,550131.807,5068846.389,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub"
"ABBY2018-06","ABBY","2018-06","2018","ABBY_009",48,16,124,45.76561,-122.299532,554467.4,5068244.246,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub"
"ABBY2018-06","ABBY","2018-06","2018","ABBY_010",20,1,3,45.776549,-122.375934,548516.969,5069410.372,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub"
"ABBY2018-06","ABBY","2018-06","2018","ABBY_011",36,11,121.5,45.743361,-122.358994,549863.536,5065733.54,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub"
"ABBY2018-06","ABBY","2018-06","2018","ABBY_012",35,12,87,45.754263,-122.384239,547890.374,5066929.326,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub"
