"sitemonthyear","siteID","monthyear","year","numplots","species_richness","exotic_richness","exotic_cover","Dominant_NLCD_Classes"
"BONA2017-08","BONA","2017-08","2017","1","12","0","NaN","Deciduous Forest, Evergreen Forest, Mixed Forest, Woody Wetlands"
"BONA2018-07","BONA","2018-07","2018","3","21","0","NaN","Deciduous Forest, Evergreen Forest, Mixed Forest, Woody Wetlands"
"CLBJ2017-05","CLBJ","2017-05","2017","22","243","10","12.1666666666667","Deciduous Forest, Grassland/Herbaceous"
"CLBJ2018-05","CLBJ","2018-05","2018","14","192","8","7.375","Deciduous Forest, Grassland/Herbaceous"
"CLBJ2019-04","CLBJ","2019-04","2019","1","55","0","NaN","Deciduous Forest, Grassland/Herbaceous"
"HARV2017-07","HARV","2017-07","2017","9","94","4","2.16666666666667","Deciduous Forest, Evergreen Forest, Mixed Forest, Woody Wetlands"
"HARV2018-07","HARV","2018-07","2018","21","133","7","3.52173913043478","Deciduous Forest, Evergreen Forest, Mixed Forest, Woody Wetlands"
"HARV2019-07","HARV","2019-07","2019","8","80","1","0.5","Deciduous Forest, Evergreen Forest, Mixed Forest, Woody Wetlands"
"KONZ2016-07","KONZ","2016-07","2016","11","133","2","2","Deciduous Forest, Grassland/Herbaceous"
"KONZ2017-06","KONZ","2017-06","2017","1","24","1","1","Deciduous Forest, Grassland/Herbaceous"
"KONZ2019-07","KONZ","2019-07","2019","14","144","2","1","Deciduous Forest, Grassland/Herbaceous"
"NIWO2018-08","NIWO","2018-08","2018","15","39","0","NaN","Evergreen Forest, Grassland/Herbaceous"
"NIWO2019-08","NIWO","2019-08","2019","12","120","0","NaN","Evergreen Forest, Grassland/Herbaceous"
"NIWO2020-08","NIWO","2020-08","2020","2","8","0","NaN","Evergreen Forest, Grassland/Herbaceous"
"ONAQ2017-06","ONAQ","2017-06","2017","12","49","11","0.636842105263158","Evergreen Forest, Shrub/Scrub"
"ONAQ2019-05","ONAQ","2019-05","2019","5","21","7","0.752941176470588","Evergreen Forest, Shrub/Scrub"
"OSBS2017-09","OSBS","2017-09","2017","11","136","2","0.916666666666667","Emergent Herbaceous Wetlands, Evergreen Forest, Woody Wetlands"
"OSBS2018-09","OSBS","2018-09","2018","11","109","1","1","Emergent Herbaceous Wetlands, Evergreen Forest, Woody Wetlands"
"SCBI2016-07","SCBI","2016-07","2016","12","167","53","4.08315098468271","Deciduous Forest, Evergreen Forest, Pasture/Hay"
"SCBI2017-07","SCBI","2017-07","2017","8","144","48","2.37608695652174","Deciduous Forest, Evergreen Forest, Pasture/Hay"
