"siteID","monthyear","sitemonthyear","plotID","latitude","longitude","easting","northing"
"BONA","2017-08","BONA2017-08","BONA_003","65.201069","-147.486275","477241.564","7230951.278"
"BONA","2018-07","BONA2018-07","BONA_019","65.1984","-147.481092","477481.873","7230651.968"
"BONA","2018-07","BONA2018-07","BONA_007","65.193678","-147.444473","479192.127","7230113.172"
"BONA","2018-07","BONA2018-07","BONA_021","65.151634","-147.456573","478591.815","7225431.467"
"CLBJ","2017-05","CLBJ2017-05","CLBJ_036","33.397578","-97.57995","632062.408","3696264.855"
"CLBJ","2017-05","CLBJ2017-05","CLBJ_042","33.371534","-97.597793","630441.76","3693354.515"
"CLBJ","2017-05","CLBJ2017-05","CLBJ_031","33.375278","-97.595151","630681.931","3693772.963"
"CLBJ","2017-05","CLBJ2017-05","CLBJ_051","33.369609","-97.594595","630742.157","3693145.145"
"CLBJ","2017-05","CLBJ2017-05","CLBJ_058","33.374568","-97.578391","632242.239","3693715.404"
"CLBJ","2017-05","CLBJ2017-05","CLBJ_055","33.32094","-97.574434","632691.673","3687774.215"
"CLBJ","2017-05","CLBJ2017-05","CLBJ_034","33.321251","-97.57765","632391.857","3687804.606"
"CLBJ","2017-05","CLBJ2017-05","CLBJ_039","33.329427","-97.583638","631822.133","3688703.552"
"CLBJ","2017-05","CLBJ2017-05","CLBJ_046","33.403571","-97.58341","631731.495","3696924.926"
"CLBJ","2017-05","CLBJ2017-05","CLBJ_040","33.378824","-97.646691","625882.127","3694102.735"
"CLBJ","2017-05","CLBJ2017-05","CLBJ_057","33.372827","-97.64129","626393.231","3693444.288"
"CLBJ","2017-05","CLBJ2017-05","CLBJ_035","33.329927","-97.579437","632212.369","3688764.37"
"CLBJ","2017-05","CLBJ2017-05","CLBJ_032","33.406134","-97.593996","630743.201","3697195.761"
"CLBJ","2017-05","CLBJ2017-05","CLBJ_043","33.409931","-97.595224","630623.323","3697615.275"
"CLBJ","2017-05","CLBJ2017-05","CLBJ_038","33.414259","-97.597098","630442.546","3698092.837"
"CLBJ","2017-05","CLBJ2017-05","CLBJ_041","33.410931","-97.662009","624411.434","3697644.222"
"CLBJ","2017-05","CLBJ2017-05","CLBJ_045","33.403397","-97.568252","633141.462","3696924.986"
"CLBJ","2017-05","CLBJ2017-05","CLBJ_044","33.416293","-97.657079","624862.186","3698244.719"
"CLBJ","2017-05","CLBJ2017-05","CLBJ_049","33.413367","-97.635828","626842.436","3697945.995"
"CLBJ","2017-05","CLBJ2017-05","CLBJ_060","33.377376","-97.635425","626932.226","3693955.84"
"CLBJ","2017-05","CLBJ2017-05","CLBJ_056","33.39147","-97.663273","624321.63","3695484.968"
"CLBJ","2017-05","CLBJ2017-05","CLBJ_059","33.37569","-97.631907","627261.948","3693773.193"
"CLBJ","2018-05","CLBJ2018-05","CLBJ_001","33.397987","-97.568339","633141.62","3696324.985"
"CLBJ","2018-05","CLBJ2018-05","CLBJ_002","33.40398","-97.571138","632872.228","3696985.964"
"CLBJ","2018-05","CLBJ2018-05","CLBJ_051","33.369609","-97.594595","630742.157","3693145.145"
"CLBJ","2018-05","CLBJ2018-05","CLBJ_042","33.371534","-97.597793","630441.76","3693354.515"
"CLBJ","2018-05","CLBJ2018-05","CLBJ_034","33.321251","-97.57765","632391.857","3687804.606"
"CLBJ","2018-05","CLBJ2018-05","CLBJ_033","33.380971","-97.620209","628342.456","3694373.135"
"CLBJ","2018-05","CLBJ2018-05","CLBJ_050","33.379385","-97.622498","628131.9","3694194.459"
"CLBJ","2018-05","CLBJ2018-05","CLBJ_060","33.377376","-97.635425","626932.226","3693955.84"
"CLBJ","2018-05","CLBJ2018-05","CLBJ_059","33.37569","-97.631907","627261.948","3693773.193"
"CLBJ","2018-05","CLBJ2018-05","CLBJ_057","33.372827","-97.64129","626393.231","3693444.288"
"CLBJ","2018-05","CLBJ2018-05","CLBJ_036","33.397578","-97.57995","632062.408","3696264.855"
"CLBJ","2018-05","CLBJ2018-05","CLBJ_003","33.403989","-97.572744","632722.868","3696984.829"
"CLBJ","2018-05","CLBJ2018-05","CLBJ_049","33.413367","-97.635828","626842.436","3697945.995"
"CLBJ","2018-05","CLBJ2018-05","CLBJ_044","33.416293","-97.657079","624862.186","3698244.719"
"CLBJ","2019-04","CLBJ2019-04","CLBJ_036","33.397578","-97.57995","632062.408","3696264.855"
"HARV","2017-07","HARV2017-07","HARV_026","42.410762","-72.247271","726510.439","4699055.568"
"HARV","2017-07","HARV2017-07","HARV_018","42.432275","-72.232028","727686.891","4701485.414"
"HARV","2017-07","HARV2017-07","HARV_030","42.423045","-72.218966","728795.047","4700495.504"
"HARV","2017-07","HARV2017-07","HARV_020","42.436756","-72.228878","727929.776","4701991.474"
"HARV","2017-07","HARV2017-07","HARV_002","42.478565","-72.259572","725254.921","4706552.291"
"HARV","2017-07","HARV2017-07","HARV_017","42.481741","-72.26708","724626.424","4706885.042"
"HARV","2017-07","HARV2017-07","HARV_022","42.434188","-72.198776","730415.353","4701787.542"
"HARV","2017-07","HARV2017-07","HARV_005","42.489469","-72.275158","723934.837","4707721.902"
"HARV","2017-07","HARV2017-07","HARV_027","42.43035","-72.253258","725947.363","4701214.858"
"HARV","2018-07","HARV2018-07","HARV_024","42.459993","-72.25087","726037.158","4704513.024"
"HARV","2018-07","HARV2018-07","HARV_006","42.403087","-72.25372","726007.307","4698186.136"
"HARV","2018-07","HARV2018-07","HARV_013","42.392282","-72.254598","725973.872","4696983.872"
"HARV","2018-07","HARV2018-07","HARV_016","42.45847","-72.231992","727594.914","4704394.4"
"HARV","2018-07","HARV2018-07","HARV_011","42.455924","-72.238278","727087.305","4704094.844"
"HARV","2018-07","HARV2018-07","HARV_021","42.45243","-72.250472","726097.062","4703674.283"
"HARV","2018-07","HARV2018-07","HARV_023","42.414314","-72.226622","728196.771","4699505.331"
"HARV","2018-07","HARV2018-07","HARV_033","42.538302","-72.175607","731935.953","4713412.669"
"HARV","2018-07","HARV2018-07","HARV_015","42.538822","-72.182055","731404.519","4713452.726"
"HARV","2018-07","HARV2018-07","HARV_035","42.539966","-72.178072","731727.362","4713590.729"
